[2018-04-03 17:36:58] error-1522769818.ERROR: Aviso , erro! [] []
[2018-04-03 17:38:27] error-1522769907.ERROR: Aviso , erro! [] []
[2018-04-03 17:39:29] error-1522769969.ERROR: Aviso , erro! [] []
[2018-04-03 17:40:11] error-1522770011.ERROR: Aviso , erro! [] []
[2018-04-03 17:41:07] error-1522770067.ERROR: Aviso , erro! [] []
[2018-04-03 17:48:35] error-1522770515.ERROR: Aviso , erro! [] []
[2018-04-03 17:48:57] error-1522770537.ERROR: Aviso , erro! [] []
[2018-04-03 17:49:08] error-1522770548.ERROR: Aviso , erro! [] []
[2018-04-03 17:55:42] error-1522770942.ERROR: Aviso , erro! [] []
[2018-04-03 17:58:23] error-1522771103.ERROR: Aviso , erro! [] []
[2018-04-03 18:04:00] error-1522771440.ERROR: Aviso , erro! [] []
[2018-04-03 18:05:18] error-1522771518.ERROR: Aviso , erro! [] []
[2018-04-03 18:10:45] error-1522771845.ERROR: Aviso , erro! [] []
[2018-04-03 18:19:46] error-1522772386.ERROR: Aviso , erro! [] []
[2018-04-03 18:22:46] error-1522772566.ERROR: Aviso , erro! [] []
[2018-04-03 18:27:55] error-1522772875.ERROR: Aviso , erro! [] []
[2018-04-03 19:08:01] error-1522775281.ERROR: Aviso , erro! [] []
[2018-04-03 19:10:19] error-1522775419.ERROR: Aviso , erro! [] []
[2018-04-03 19:10:22] error-1522775422.ERROR: Aviso , erro! [] []
[2018-04-03 19:10:34] error-1522775434.ERROR: Aviso , erro! [] []
[2018-04-03 19:19:29] error-1522775969.ERROR: Aviso , erro! [] []
[2018-04-03 19:22:47] error-1522776167.ERROR: Aviso , erro! [] []
[2018-04-03 19:34:43] error-1522776883.ERROR: Aviso , erro! [] []
[2018-04-03 19:36:08] error-1522776968.ERROR: Aviso , erro! [] []
[2018-04-03 19:36:09] error-1522776969.ERROR: Aviso , erro! [] []
[2018-04-03 19:36:10] error-1522776970.ERROR: Aviso , erro! [] []
[2018-04-03 19:36:20] error-1522776980.ERROR: Aviso , erro! [] []
[2018-04-03 19:37:31] error-1522777051.ERROR: Aviso , erro! [] []
[2018-04-03 19:38:13] error-1522777093.ERROR: Aviso , erro! [] []
[2018-04-03 19:42:19] error-1522777339.ERROR: Aviso , erro! [] []
[2018-04-03 19:42:43] error-1522777363.ERROR: Aviso , erro! [] []
[2018-04-03 19:42:48] error-1522777368.ERROR: Aviso , erro! [] []
[2018-04-03 19:45:12] error-1522777512.ERROR: Aviso , erro! [] []
[2018-04-03 19:45:15] error-1522777515.ERROR: Aviso , erro! [] []
[2018-04-03 19:45:52] error-1522777552.ERROR: Aviso , erro! [] []
[2018-04-03 19:49:38] error-1522777778.ERROR: Aviso , erro! [] []
